Compulsion,1959,103
The Diary of Anne Frank,1959,180
Floating Weeds,1959,119
The Four Hundred Blows,1959,97
Hiroshima Mon Amour,1959,90
Imitation of Life,1959,125
North by Northwest,1959,136
The Nun's Story,1959,149
Odds Against Tomorrow,1959,96
Pickpocket,1959,75
Pillow Talk,1959,105
Plan 9 From Outer Space,1959,80
Ride Lonesome,1959,73
Rio Bravo,1959,141
Room at the Top,1959,115
Shadows,1959,81
Sleeping Beauty,1959,75
Some Like It Hot,1959,120
"Suddenly, Last Summer",1959,114
The World of Apu,1959,105
The Young Philadelphians,1959,136
The Apartment,1960,125
L'Avventura,1960,145
Black Sunday,1960,87
Les Bonnes Femmes,1960,100
A Bout De Souffle,1960,90
BUtterfield 8,1960,109
La Dolce Vita,1960,174
Elmer Gantry,1960,146
Eyes Without a Face,1960,88
Inherit the Wind,1960,127
The Magnificent Seven,1960,126
Never on Sunday,1960,91
Peeping Tom,1960,109
Psycho,1960,109
Rocco and His Brothers,1960,177
Saturday Night and Sunday Morning,1960,90
Shoot the Piano Player,1960,80
Sons and Lovers,1960,103
Spartacus,1960,197
The Sundowners,1960,133
The Time Machine,1960,103
Two Women,1960,100
The Virgin Spring,1960,89
Breakfast at Tiffany's,1961,115
The Exiles,1961,72
The Guns of Navarone,1961,157
The Hustler,1961,134
The Innocents,1961,99
Judgment at Nuremberg,1961,190
The Ladies Man,1961,95
Last Year at Marienbad,1961,94
Lola,1961,90
Lover Come Back,1961,107
The Misfits,1961,124
La Notte,1961,115
One-Eyed Jacks,1961,141
One Hundred and One Dalmatians,1961,79
"One, Two, Three",1961,115
A Raisin in the Sun,1961,128
Splendor in the Grass,1961,124
Through a Glass Darkly,1961,89
Viridiana,1961,90
West Side Story,1961,153
Yojimbo,1961,110
Billy Budd,1962,125
Cape Fear,1962,105
Days of Wine and Roses,1962,117
Dr. No,1962,110
Gypsy,1962,143
How the West Was Won,1962,165
La Jetée,1962,28
Jules et Jim,1962,104
Lawrence of Arabia,1962,220
Lolita,1962,152
The Loneliness of the Long Distance Runner,1962,104
Long Day's Journey Into Night,1962,174
The Longest Day,1962,180
The Man Who Shot Liberty Valance,1962,118
The Manchurian Candidate,1962,126
The Miracle Worker,1962,107
Mondo Cane,1962,105
The Music Man,1962,151
Sundays and Cybele,1962,110
To Kill a Mockingbird,1962,131
What Ever Happened to Baby Jane?,1962,132
America America,1963,174
The Birds,1963,119
Bye Bye Birdie,1963,112
Charade,1963,113
Cleopatra,1963,243
Contempt,1963,103
8 1/2,1963,135
From Russia With Love,1963,110
The Great Escape,1963,169
The Haunting,1963,112
High and Low,1963,143
Hud,1963,112
"It's a Mad, Mad, Mad, Mad World",1963,192
The Leopard,1963,187
Lilies of the Field,1963,94
The Nutty Professor,1963,107
The Pink Panther,1963,113
The Servant,1963,112
Shock Corridor,1963,101
This Sporting Life,1963,134
Tom Jones,1963,129
"Yesterday, Today and Tomorrow",1963,119
The Americanization of Emily,1964,115
Becket,1964,148
Dear Heart,1964,114
Dr. Strangelove: Or How I Learned to Stop Worrying and Love the Bomb,1964,93
Fail Safe,1964,111
Goldfinger,1964,112
The Gospel According to St. Matthew,1964,137
A Hard Day's Night,1964,90
I Am Cuba,1964,140
Marnie,1964,130
Mary Poppins,1964,139
The Masque of the Red Death,1964,89
My Fair Lady,1964,170
The Night of the Iguana,1964,125
The Pawnbroker,1964,114
A Shot in the Dark,1964,101
Topkapi,1964,120
The Umbrellas of Cherbourg,1964,87
Woman in the Dunes,1964,147
Zorba the Greek,1964,142
Zulu,1964,139
Alphaville,1965,99
Cat Ballou,1965,97
Darling,1965,128
Doctor Zhivago,1965,197
Falstaff,1965,113
"Faster, Pussycat! Kill! Kill!",1965,83
Help!,1965,92
The Ipcress File,1965,109
A Patch of Blue,1965,105
Pierrot Le Fou,1965,110
Repulsion,1965,104
Ship of Fools,1965,149
The Shop on Main Street,1965,125
The Sound of Music,1965,174
A Thousand Clowns,1965,118
Tokyo Olympiad,1965,170
Alfie,1966,114
Andrei Rublev,1966,205
Au Hasard Balthazar,1966,95
The Battle of Algiers,1966,117
Blow-Up,1966,110
Born Free,1966,96
Closely Watched Trains,1966,93
Fantastic Voyage,1966,100
A Funny Thing Happened On The Way To The Forum,1966,99
Georgy Girl,1966,100
"The Good, the Bad, and the Ugly",1966,161
King of Hearts,1966,100
A Man and a Woman,1966,102
A Man for All Seasons,1966,120
Persona,1966,85
The Professionals,1966,117
Seconds,1966,100
War and Peace,1966,414
Who's Afraid of Virginia Woolf?,1966,129
Belle de Jour,1967,101
Bonnie and Clyde,1967,111
Cool Hand Luke,1967,126
The Dirty Dozen,1967,149
Divorce American Style,1967,109
Far From the Madding Crowd,1967,168
The Graduate,1967,106
Guess Who's Coming to Dinner,1967,108
Hombre,1967,111
How to Succeed in Business Without Really Trying,1967,121
In Cold Blood,1967,134
In the Heat of the Night,1967,109
The Jungle Book,1967,78
Playtime,1967,124
Point Blank,1967,92
Two for the Road,1967,112
Valley of the Dolls,1967,123
Wait Until Dark,1967,108
Week End,1967,105
Bullitt,1968,113
Charly,1968,103
Faces,1968,130
Flesh,1968,90
Funny Girl,1968,151
If...,1968,110
The Lion in Winter,1968,134
Night of the Living Dead,1968,90
Oliver!,1968,153
Once Upon a Time in the West,1968,165
Petulia,1968,105
Planet of the Apes,1968,112
Pretty Poison,1968,89
The Producers,1968,88
"Rachel, Rachel",1968,101
Romeo and Juliet,1968,138
Rosemary's Baby,1968,136
Stolen Kisses,1968,90
The Swimmer,1968,94
Targets,1968,90
The Thomas Crown Affair,1968,102
2001: A Space Odyssey,1968,139
Yellow Submarine,1968,85
Alice's Restaurant,1969,111
Anne of the Thousand Days,1969,145
The Arrangement,1969,125
Bob & Carol & Ted & Alice,1969,104
Butch Cassidy and the Sundance Kid,1969,110
Easy Rider,1969,94
Fellini Satyricon,1969,138
"Hello, Dolly!",1969,129
The Italian Job,1969,99
Kes,1969,110
The Learning Tree,1969,107
Medium Cool,1969,110
Midnight Cowboy,1969,119
Model Shop,1969,95
The Prime of Miss Jean Brodie,1969,116
The Sorrow and the Pity,1969,251
Take the Money and Run,1969,85
"They Shoot Horses, Don't They?",1969,129
True Grit,1969,128
The Wild Bunch,1969,145
Women in Love,1969,131
Z,1969,128
Airport,1970,137
Beyond the Valley of the Dolls,1970,110
The Bird With the Crystal Plumage,1970,98
Claire's Knee,1970,105
El Topo,1970,125
Five Easy Pieces,1970,96
The Garden of the Finzi-Continis,1970,94
Gimme Shelter,1970,91
Investigation of a Citizen Above Suspicion,1970,112
Little Big Man,1970,147
Love Story,1970,99
M*A*S*H,1970,116
Patton,1970,170
Performance,1970,105
The Private Life of Sherlock Holmes,1970,125
Tristana,1970,95
Woodstock 3 Days of Peace & Music,1970,184
Zabriskie Point,1970,112
Bananas,1971,82
Brian's Song,1971,73
Carnal Knowledge,1971,97
A Clockwork Orange,1971,137
Death in Venice,1971,130
Dirty Harry,1971,103
Duel,1971,90
The Emigrants,1971,148
Fiddler on the Roof,1971,180
The French Connection,1971,104
Get Carter,1971,111
Harold and Maude,1971,90
Klute,1971,114
The Last Picture Show,1971,118
McCabe & Mrs. Miller,1971,120
Nicholas and Alexandra,1971,183
Play Misty For Me,1971,102
Shaft,1971,100
Straw Dogs,1971,118
Summer of '42,1971,104
"Sunday, Bloody Sunday",1971,110
Sweet Sweetback's Baad Asssss Song,1971,97
10 Rillington Place,1971,111
Two-Lane Blacktop,1971,102
Walkabout,1971,95
Willy Wonka and the Chocolate Factory,1971,100
W.R.: Mysteries of the Organism,1971,85
"Aguirre, The Wrath of God",1972,100
Cabaret,1972,124
The Candidate,1972,109
Cries and Whispers,1972,106
Deliverance,1972,109
The Discreet Charm of the Bourgeoisie,1972,105
Fat City,1972,100
Frenzy,1972,116
The Godfather,1972,175
Last Tango in Paris,1972,125
"Play It Again, Sam",1972,85
Pink Flamingos,1972,93
The Ruling Class,1972,148
Sleuth,1972,138
Solaris,1972,165
Sounder,1972,105
Super Fly,1972,93
Amarcord,1973,127
American Graffiti,1973,110
Badlands,1973,95
Day For Night,1973,115
The Day of the Jackal,1973,143
Don't Look Now,1973,110
Enter the Dragon,1973,98
The Exorcist,1973,120
Fantastic Planet,1973,72
High Plains Drifter,1973,105
The Last Detail,1973,103
The Long Goodbye,1973,112
Mean Streets,1973,110
The Paper Chase,1973,113
Paper Moon,1973,102
Papillon,1973,150
Pat Garrett and Billy the Kid,1973,106
Save the Tiger,1973,100
Scenes From a Marriage,1973,169
Serpico,1973,129
Sleeper,1973,88
The Spirit of the Beehive,1973,97
The Sting,1973,129
A Touch of Class,1973,105
The Way We Were,1973,118
The Wicker Man,1973,88
Alice Doesn't Live Here Anymore,1974,112
Blazing Saddles,1974,93
Bring Me the Head of Alfredo Garcia,1974,112
Chinatown,1974,131
The Conversation,1974,113
Part II),1974,200
Harry and Tonto,1974,115
Lenny,1974,111
The Parallax View,1974,102
The Texas Chainsaw Massacre,1974,83
That's Entertainment!,1974,120
The Towering Inferno,1974,165
"Vincent, François, Paul...and the Others",1974,118
A Woman Under the Influence,1974,155
Young Frankenstein,1974,106
Barry Lyndon,1975,184
The Day of the Locust,1975,144
Dersu Uzala,1975,137
Dog Day Afternoon,1975,130
Jaws,1975,120
Love and Death,1975,85
The Man Who Would Be King,1975,129
Monty Python and the Holy Grail,1975,89
Nashville,1975,159
Night Moves,1975,100
One Flew Over the Cuckoo's Nest,1975,133
The Passenger,1975,125
Picnic at Hanging Rock,1975,115
The Rocky Horror Picture Show,1975,100
"Salo, Or the 120 Days of Sodom",1975,117
Seven Beauties,1975,115
Shampoo,1975,109
Tommy,1975,111
All the President's Men,1976,138
Black and White in Color,1976,90
Bound For Glory,1976,147
Carrie,1976,97
In the Realm of the Senses,1976,105
L'Innocente,1976,115
The Man Who Fell to Earth,1976,140
Marathon Man,1976,125
Network,1976,120
1900,1976,320
The Omen,1976,111
The Outlaw Josey Wales,1976,135
Rocky,1976,119
Small Change,1976,104
Taxi Driver,1976,112
Annie Hall,1977,93
Close Encounters of the Third Kind,1977,135
Eraserhead,1977,100
The Goodbye Girl,1977,111
The Hills Have Eyes,1977,89
Julia,1977,116
Killer of Sheep,1977,90
The Last Wave,1977,106
Madame Rosa,1977,105
Saturday Night Fever,1977,119
Soldier of Orange,1977,165
The Spy Who Loved Me,1977,125
Star Wars,1977,121
Suspiria,1977,98
Three Women,1977,124
The Turning Point,1977,119
National Lampoon's) Animal House,1978,109
The Buddy Holly Story,1978,113
La Cage aux Folles,1978,91
Coming Home,1978,126
Dawn of the Dead,1978,126
Days of Heaven,1978,95
The Deer Hunter,1978,183
Get Out Your Handkerchiefs,1978,109
Grease,1978,110
Halloween,1978,90
Heaven Can Wait,1978,100
The Last Waltz,1978,117
Midnight Express,1978,120
Pretty Baby,1978,110
Superman The Movie,1978,143
The Tree of Wooden Clogs,1978,186
An Unmarried Woman,1978,124
Up in Smoke,1978,86
Watership Down,1978,101
Alien,1979,116
All That Jazz,1979,123
...And Justice For All,1979,119
Apocalypse Now,1979,139
Being There,1979,130
The Black Stallion,1979,118
Breaking Away,1979,100
The China Syndrome,1979,122
The Jerk,1979,94
Kramer vs. Kramer,1979,104
Mad Max,1979,93
Manhattan,1979,96
